iata,airport_name,lat,long,currency_code,to_euro
SYD,Sydney Intl,-33.946111,151.177222,AUD,0.7253
TMW,Tamworth,-31.083889000000003,150.846667,AUD,0.7253
WGA,Wagga Wagga,-35.165278,147.466389,AUD,0.7253
EMD,Emerald,-23.5675,148.179167,AUD,0.7253
DRW,Darwin Intl,-12.4083333,130.87266,AUD,0.7253
AYQ,Ayers Rock,-25.186111,130.975556,AUD,0.7253
KGC,Kingscote Airport,-35.713889,137.521389,AUD,0.7253
HVB,Hervey Bay Airport,-25.318889000000002,152.880278,AUD,0.7253
ARM,Armidale,-30.528056,151.617222,AUD,0.7253
BKQ,Blackall,-24.427778,145.42861100000002,AUD,0.7253
BDB,Bundaberg,-24.903889000000003,152.318611,AUD,0.7253
HIS,Hayman Island Airport,-20.066668,148.86667,AUD,0.7253
THG,Thangool,-24.493889000000003,150.576111,AUD,0.7253
BNK,Ballina Byron Gateway,-28.833889000000003,153.5625,AUD,0.7253
BME,Broome,-17.8,122.2,AUD,0.7253
NTL,Newcastle Airport,-32.78,151.83,AUD,0.7253
GUL,Goulburn Airport,-34.8103,149.726,AUD,0.7253
ALH,Albany Airport,-34.9433,117.809,AUD,0.7253
GYL,Argyle Airport,-16.6369,128.451,AUD,0.7253
AUU,Aurukun Airport,-13.3539,141.721,AUD,0.7253
BCI,Barcaldine Airport,-23.5653,145.30700000000002,AUD,0.7253
BDD,Badu Island Airport,-10.15,141.175,AUD,0.7253
BVI,Birdsville Airport,-25.8975,139.34799999999998,AUD,0.7253
BHQ,Broken Hill Airport,-32.0014,141.472,AUD,0.7253
HTI,Hamilton Island Airport,-20.3581,148.952,AUD,0.7253
BEU,Bedourie Airport,-24.3461,139.46,AUD,0.7253
BRK,Bourke Airport,-30.0392,145.952,AUD,0.7253
BUC,Burketown Airport,-17.7486,139.534,AUD,0.7253
GIC,Boigu Airport,-9.23278,142.218,AUD,0.7253
OKY,Oakey Airport,-27.411389,151.735278,AUD,0.7253
BQL,Boulia Airport,-22.9133,139.9,AUD,0.7253
BHS,Bathurst Airport,-33.4094,149.65200000000002,AUD,0.7253
BLT,Blackwater Airport,-23.6031,148.80700000000002,AUD,0.7253
CVQ,Carnarvon Airport,-24.8806,113.67200000000001,AUD,0.7253
CAZ,Cobar Airport,-31.5383,145.79399999999998,AUD,0.7253
CPD,Coober Pedy Airport,-29.04,134.721,AUD,0.7253
CNC,Coconut Island Airport,-10.05,143.07,AUD,0.7253
CNJ,Cloncurry Airport,-20.6686,140.504,AUD,0.7253
CED,Ceduna Airport,-32.1306,133.71,AUD,0.7253
CTN,Cooktown Airport,-15.4447,145.184,AUD,0.7253
CMA,Cunnamulla Airport,-28.03,145.622,AUD,0.7253
CNB,Coonamble Airport,-30.9833,148.376,AUD,0.7253
CUQ,Coen Airport,-13.7608,143.114,AUD,0.7253
OOM,Cooma Snowy Mountains Airport,-36.3006,148.974,AUD,0.7253
DMD,Doomadgee Airport,-17.9403,138.822,AUD,0.7253
NLF,Darnley Island Airport,-9.58333,143.767,AUD,0.7253
DPO,Devonport Airport,-41.1697,146.43,AUD,0.7253
ELC,Elcho Island Airport,-12.0194,135.571,AUD,0.7253
EPR,Esperance Airport,-33.6844,121.823,AUD,0.7253
FLS,Flinders Island Airport,-40.0917,147.993,AUD,0.7253
GET,Geraldton Airport,-28.7961,114.70700000000001,AUD,0.7253
GLT,Gladstone Airport,-23.8697,151.22299999999998,AUD,0.7253
GTE,Groote Eylandt Airport,-13.975,136.46,AUD,0.7253
GFF,Griffith Airport,-34.2508,146.067,AUD,0.7253
HID,Horn Island Airport,-10.5864,142.29,AUD,0.7253
HOK,Hooker Creek Airport,-18.3367,130.638,AUD,0.7253
MHU,Mount Hotham Airport,-37.0475,147.334,AUD,0.7253
HGD,Hughenden Airport,-20.815,144.225,AUD,0.7253
JCK,Julia Creek Airport,-20.6683,141.72299999999998,AUD,0.7253
KAX,Kalbarri Airport,-27.69,114.262,AUD,0.7253
KNS,King Island Airport,-39.8775,143.878,AUD,0.7253
KFG,Kalkgurung Airport,-17.4319,130.808,AUD,0.7253
KRB,Karumba Airport,-17.4567,140.83,AUD,0.7253
KWM,Kowanyama Airport,-15.4856,141.751,AUD,0.7253
KUG,Kubin Airport,-10.225,142.218,AUD,0.7253
LNO,Leonora Airport,-28.8781,121.315,AUD,0.7253
LEL,Lake Evella Airport,-12.4989,135.806,AUD,0.7253
LDH,Lord Howe Island Airport,-31.5383,159.077,AUD,0.7253
IRG,Lockhart River Airport,-12.7869,143.305,AUD,0.7253
LSY,Lismore Airport,-28.8303,153.26,AUD,0.7253
LHG,Lightning Ridge Airport,-29.4567,147.984,AUD,0.7253
LRE,Longreach Airport,-23.4342,144.28,AUD,0.7253
LER,Leinster Airport,-27.8433,120.70299999999999,AUD,0.7253
LVO,Laverton Airport,-28.6136,122.42399999999999,AUD,0.7253
UBB,Mabuiag Island Airport,-9.95,142.183,AUD,0.7253
MKR,Meekatharra Airport,-26.6117,118.54799999999999,AUD,0.7253
MIM,Merimbula Airport,-36.9086,149.901,AUD,0.7253
MGT,Milingimbi Airport,-12.0944,134.894,AUD,0.7253
MNG,Maningrida Airport,-12.0561,134.234,AUD,0.7253
MCV,McArthur River Mine Airport,-16.4425,136.084,AUD,0.7253
MQL,Mildura Airport,-34.2292,142.086,AUD,0.7253
MMG,Mount Magnet Airport,-28.1161,117.84200000000001,AUD,0.7253
MRZ,Moree Airport,-29.4989,149.845,AUD,0.7253
MOV,Moranbah Airport,-22.0578,148.077,AUD,0.7253
MYA,Moruya Airport,-35.8978,150.144,AUD,0.7253
MGB,Mount Gambier Airport,-37.7456,140.785,AUD,0.7253
ONG,Mornington Island Airport,-16.6625,139.178,AUD,0.7253
MYI,Murray Island Airport,-9.91667,144.055,AUD,0.7253
MBH,Maryborough Airport,-25.5133,152.715,AUD,0.7253
NRA,Narrandera Airport,-34.7022,146.512,AUD,0.7253
NAA,Narrabri Airport,-30.3192,149.827,AUD,0.7253
NTN,Normanton Airport,-17.6836,141.07,AUD,0.7253
ZNE,Newman Airport,-23.4178,119.803,AUD,0.7253
OLP,Olympic Dam Airport,-30.485,136.877,AUD,0.7253
PUG,Port Augusta Airport,-32.506944,137.716667,AUD,0.7253
PMK,Palm Island Airport,-18.7553,146.58100000000002,AUD,0.7253
PBO,Paraburdoo Airport,-23.1711,117.745,AUD,0.7253
GOV,Gove Airport,-12.2694,136.81799999999998,AUD,0.7253
PKE,Parkes Airport,-33.1314,148.239,AUD,0.7253
PLO,Port Lincoln Airport,-34.6053,135.88,AUD,0.7253
EDR,Pormpuraaw Airport,-14.8967,141.609,AUD,0.7253
PQQ,Port Macquarie Airport,-31.4358,152.863,AUD,0.7253
PTJ,Portland Airport,-38.3181,141.471,AUD,0.7253
ULP,Quilpie Airport,-26.6122,144.253,AUD,0.7253
RAM,Ramingining Airport,-12.3564,134.898,AUD,0.7253
RMA,Roma Airport,-26.545,148.775,AUD,0.7253
SGO,St George Airport,-28.0497,148.595,AUD,0.7253
MJK,Shark Bay Airport,-25.8939,113.57700000000001,AUD,0.7253
SBR,Saibai Island Airport,-9.37833,142.625,AUD,0.7253
SRN,Strahan Airport,-42.155,145.292,AUD,0.7253
XTG,Thargomindah Airport,-27.9864,143.811,AUD,0.7253
TCA,Tennant Creek Airport,-19.6344,134.183,AUD,0.7253
VCD,Victoria River Downs Airport,-16.4033,131.002,AUD,0.7253
SYU,Warraber Island Airport,-10.2083,142.825,AUD,0.7253
WNR,Windorah Airport,-25.4131,142.667,AUD,0.7253
WYA,Whyalla Airport,-33.0589,137.514,AUD,0.7253
WUN,Wiluna Airport,-26.6292,120.221,AUD,0.7253
WOL,Wollongong Airport,-34.5611,150.789,AUD,0.7253
WIN,Winton Airport,-22.3636,143.086,AUD,0.7253
BWT,Wynyard Airport,-40.9989,145.731,AUD,0.7253
OKR,Yorke Island Airport,-9.75703,143.411,AUD,0.7253
XMY,Yam Island Airport,-9.901110000000001,142.776,AUD,0.7253
WME,Mount Keith,-27.286389,120.554722,AUD,0.7253
NOA,Nowra Airport,-34.9489,150.537,AUD,0.7253
KTR,Tindal Airport,-14.5211,132.378,AUD,0.7253
TRO,Taree Airport,-31.8886,152.514,AUD,0.7253
OAG,Orange Airport,-33.3817,149.13299999999998,AUD,0.7253
GFN,Grafton Airport,-29.7594,153.03,AUD,0.7253
TWB,Toowoomba,-27.542778000000002,151.91638899999998,AUD,0.7253
BWB,Barrow Island Airport,-20.798000000000002,115.406,AUD,0.7253
MWB,Morawa Airport,-29.211,116.009,AUD,0.7253
EXM,Exmouth Airport,-21.933000000000003,114.12799999999999,AUD,0.7253
DRB,Derby Airport,-17.39,123.68,AUD,0.7253
WGE,Walgett Airport,-30.0318,148.1222,AUD,0.7253
BRT,Bathurst Island Airport,-11.769167,130.619722,AUD,0.7253
DKI,Dunk Island Airport,-17.939722,146.141944,AUD,0.7253
LZR,Lizard Island Airport,-14.673055999999999,145.454444,AUD,0.7253
HLT,Hamilton Airport,-37.648889000000004,142.065278,AUD,0.7253
HCQ,Halls Creek Airport,-18.233889,127.669722,AUD,0.7253
FIZ,Fitzroy Crossing Airport,-18.178,125.59100000000001,AUD,0.7253
RVT,Ravensthorpe Airport,-33.797222,120.208056,AUD,0.7253
HRN,Heron Island,-23.441667000000002,151.91138899999999,AUD,0.7253
LYT,Lady Elliot Island,-24.113332999999997,152.715278,AUD,0.7253
ORS,Orpheus Island,-18.634,146.5,AUD,0.7253
GEX,Geelong Airport,-38.225,144.333,AUD,0.7253
PEA,Penneshaw Airport,-34.75,137.933,AUD,0.7253
CDA,Cooinda,-12.9033,132.532,AUD,0.7253
JAB,Jabiru,-12.6571,132.893,AUD,0.7253
TEF,Telfer Airport,-21.713057,122.21222,AUD,0.7253
RMK,Renmark,-34.118,140.404,AUD,0.7253
XMC,Mallacoota Airport,-37.598301,149.720001,AUD,0.7253
YUE,Yuendumu ,-22.254167000000002,131.78194399999998,AUD,0.7253
GKL,Great Keppel Island,-23.186,150.94299999999998,AUD,0.7253
RPB,Roper Bar,-14.734570000000001,134.5252,AUD,0.7253
IFL,Innisfail,-17.559079999999998,146.01123,AUD,0.7253
